"","dispnum","stabb","ccode","stday","stmon","styear","endday","endmon","endyear","sidea","revstate","revtype1","revtype2","fatality","fatalpre","hiact","hostlev","orig","version","outcome","settle","recip","numa","numb","COWcode","year"
"3641",3383,"EGY",651,3,7,1979,3,7,1979,0,1,1,-9,0,0,0,1,1,5,6,1,0,1,1,651,1979
"3642",3384,"ISR",666,20,1,1983,21,1,1983,0,0,0,-9,0,0,0,1,1,5,3,1,0,1,1,666,1983
"3643",3384,"EGY",651,20,1,1983,21,1,1983,1,0,0,-9,0,0,7,3,1,5,3,1,0,1,1,651,1983
"3644",3385,"EGY",651,16,8,1983,5,7,1985,1,0,0,-9,0,0,15,4,1,5,7,1,1,1,1,651,1983
"3645",3385,"ISR",666,16,8,1983,5,7,1985,0,0,0,-9,0,0,12,3,1,5,7,1,1,1,1,666,1983
"3646",3386,"ISR",666,23,12,1949,7,1,1950,0,0,0,-9,-9,-9,17,4,1,5,5,1,1,1,1,666,1949
"3647",3386,"EGY",651,23,12,1949,7,1,1950,1,1,1,-9,-9,-9,17,4,1,5,5,1,1,1,1,651,1949
"3648",3387,"ISR",666,8,8,1970,17,10,1971,0,0,0,-9,-9,-9,7,3,1,5,5,3,1,1,1,666,1970
"3649",3387,"EGY",651,8,8,1970,17,10,1971,1,1,1,-9,-9,-9,16,4,1,5,5,3,1,1,1,651,1970
"3650",3400,"SYR",652,12,7,1950,12,7,1950,1,1,1,-9,0,0,15,4,1,5,4,3,0,1,1,652,1950
"3651",3400,"ISR",666,12,7,1950,12,7,1950,0,0,0,-9,0,0,0,1,1,5,4,3,0,1,1,666,1950
"3652",3401,"ISR",666,28,12,1951,28,12,1951,0,0,0,-9,0,0,12,3,1,5,5,3,1,1,1,666,1951
"3653",3401,"SYR",652,28,12,1951,28,12,1951,1,1,1,-9,0,0,16,4,1,5,5,3,1,1,1,652,1951
"3654",3403,"SYR",652,28,2,1954,28,2,1954,1,1,1,-9,0,0,16,4,1,5,5,3,0,1,1,652,1954
"3655",3403,"ISR",666,28,2,1954,28,2,1954,0,0,0,-9,0,0,0,1,1,5,5,3,0,1,1,666,1954
"3656",3404,"ISR",666,6,4,1954,25,2,1955,0,0,0,-9,0,0,17,4,1,5,5,3,1,1,1,666,1954
"3657",3404,"SYR",652,6,4,1954,25,2,1955,1,1,1,-9,1,-9,17,4,1,5,5,3,1,1,1,652,1954
"3658",3405,"SYR",652,14,10,1955,1,2,1958,1,1,1,-9,1,-9,16,4,1,5,5,3,1,2,1,652,1955
"3659",3405,"ISR",666,14,10,1955,9,6,1960,0,0,0,-9,1,-9,16,4,1,5,5,3,1,2,1,666,1955
"3660",3405,"EGY",651,1,2,1958,9,6,1960,1,0,0,-9,1,-9,0,1,0,5,5,3,1,2,1,651,1958
"3661",3406,"ISR",666,12,2,1961,15,8,1961,0,0,0,-9,0,0,16,4,1,5,5,3,1,1,1,666,1961
"3662",3406,"EGY",651,12,2,1961,15,8,1961,1,1,1,-9,0,0,16,4,1,5,5,3,1,1,1,651,1961
"3663",3411,"SYR",652,16,2,1950,4,9,1950,1,0,0,-9,0,0,15,4,1,5,5,3,1,1,1,652,1950
"3664",3411,"ISR",666,16,2,1950,4,9,1950,0,1,1,-9,1,-9,16,4,1,5,5,3,1,1,1,666,1950
"3665",3412,"SYR",652,17,9,1966,27,11,1966,1,1,1,-9,0,0,16,4,1,5,5,3,1,3,1,652,1966
"3666",3412,"ISR",666,17,9,1966,27,11,1966,0,0,0,-9,0,0,16,4,1,5,5,3,1,3,1,666,1966
"3667",3412,"JOR",663,10,10,1966,10,10,1966,1,0,0,-9,0,0,1,2,0,5,5,3,1,3,1,663,1966
"3668",3412,"EGY",651,24,9,1966,27,11,1966,1,0,0,-9,0,0,7,3,0,5,5,3,1,3,1,651,1966
"3669",3413,"ISR",666,16,12,1951,29,6,1952,0,1,1,-9,1,-9,17,4,1,5,5,3,1,1,1,666,1951
"3670",3413,"SYR",652,16,12,1951,29,6,1952,1,0,0,-9,0,0,17,4,1,5,5,3,1,1,1,652,1951
"3671",3414,"ISR",666,9,1,1952,25,4,1952,1,0,0,-9,0,0,15,4,1,5,7,3,0,1,1,666,1952
"3672",3414,"SYR",652,9,1,1952,25,4,1952,0,1,1,-9,0,0,0,1,1,5,7,3,0,1,1,652,1952
"3673",3415,"ISR",666,15,8,1954,28,12,1954,0,0,0,-9,0,0,15,4,1,5,7,3,1,1,1,666,1954
"3674",3415,"SYR",652,15,8,1954,28,12,1954,1,1,1,-9,0,0,15,4,1,5,7,3,1,1,1,652,1954
"3675",3416,"SYR",652,4,8,1955,4,8,1955,0,1,1,-9,0,0,0,1,1,5,7,3,0,1,1,652,1955
"3676",3416,"ISR",666,4,8,1955,4,8,1955,1,0,0,-9,0,0,15,4,1,5,7,3,0,1,1,666,1955
"3677",3417,"ISR",666,-9,2,1953,22,1,1958,0,0,0,-9,1,-9,1,2,1,5,5,3,1,1,1,666,1953
"3678",3417,"SYR",652,-9,2,1953,22,1,1958,1,1,1,-9,2,-9,16,4,1,5,5,3,1,1,1,652,1953
"3679",3418,"SYR",652,29,3,1955,31,3,1955,0,1,1,-9,0,0,16,4,1,5,5,3,1,1,1,652,1955
"3680",3418,"ISR",666,29,3,1955,31,3,1955,1,0,0,-9,0,0,16,4,1,5,5,3,1,1,1,666,1955
"3681",3419,"SYR",652,15,10,1961,8,9,1963,1,0,0,-9,1,-9,0,1,0,5,5,3,1,2,1,652,1961
"3682",3419,"EGY",651,10,11,1958,15,10,1961,1,1,1,-9,1,-9,16,4,1,5,5,3,1,2,1,651,1958
"3683",3419,"ISR",666,10,11,1958,8,9,1963,0,0,0,-9,1,-9,16,4,1,5,5,3,1,2,1,666,1958
"3684",3420,"ISR",666,14,9,1958,18,9,1958,1,0,0,-9,0,0,15,4,1,5,7,3,0,1,1,666,1958
"3685",3420,"EGY",651,14,9,1958,18,9,1958,0,1,1,-9,0,0,0,1,1,5,7,3,0,1,1,651,1958
"3686",3421,"EGY",651,24,5,1959,20,8,1959,0,1,1,-9,0,0,0,1,1,5,7,3,0,1,1,651,1959
"3687",3421,"ISR",666,24,5,1959,20,8,1959,1,0,0,-9,0,0,15,4,1,5,7,3,0,1,1,666,1959
"3688",3422,"ISR",666,6,7,1960,13,7,1960,0,0,0,-9,0,0,0,1,1,5,7,3,0,1,1,666,1960
"3689",3422,"EGY",651,6,7,1960,13,7,1960,1,1,1,-9,0,0,15,4,1,5,7,3,0,1,1,651,1960
"3690",3427,"ISR",666,9,10,1950,13,7,1952,0,0,0,-9,1,-9,17,4,1,5,5,3,1,1,1,666,1950
"3691",3427,"SYR",652,9,10,1950,13,7,1952,1,1,1,-9,1,-9,17,4,1,5,5,3,1,1,1,652,1950
"3692",3428,"ISR",666,22,2,1953,28,10,1953,0,0,0,-9,0,0,7,3,1,5,5,3,1,1,1,666,1953
"3693",3428,"SYR",652,22,2,1953,28,10,1953,1,1,1,-9,0,0,16,4,1,5,5,3,1,1,1,652,1953
